District,LG,HI,_Location_of_Health_Institution_latitude,_Location_of_Health_Institution_longitude,_Location_of_Health_Institution_altitude,_Location_of_Health_Institution_precision
Baglung,Bareng_Rural_Municipality,Hugdisir_HP,28.1327567,83.5101522,1752.700073,3.1
Baglung,Nisikhola_Rural_Municipality,Nisi_Health_Post,28.4215242,82.9803831,1865,10.8
Baglung,Dhorpatan_Municipality,Dhorpatan_CHU,28.4938816,83.0495294,2866,5
Baglung,Galkot_Municipality,Malma_Healt_Post,28.2119931,83.4011997,1113.400024,4
Baglung,Bareng_Rural_Municipality,Dhullubaskot_HP,28.1400492,83.5261607,1513.1,3.605
Baglung,Bareng_Rural_Municipality,Sukhaura_HP,28.156698,83.413506,1901.5,4.866
Baglung,Baglung_Municipality,Laharepipal_HP,28.2830526,83.5848262,1347.7,4.661
Baglung,Bareng_Rural_Municipality,Hugdishir_CHU,28.1546594,83.4935789,1530.200073,4.834
Baglung,Baglung_Municipality,Ramrekha_BHCC,28.2648911,83.6069612,869.9000244,15.945
Baglung,Badigad_Rural_Municipality,Bhimgithe_Health_Post,28.2782435,83.1795674,977.1000366,9.233
Baglung,Badigad_Rural_Municipality,Khala_BHCC,28.2609902,83.1958656,836.6000366,10.525
Baglung,Badigad_Rural_Municipality,Khala_CHU,28.260985,83.1957888,836.6000366,11.1
Baglung,Dhorpatan_Municipality,Burtibang_PHCC,28.332055,83.161594,1124.513718,4.88724554
Baglung,Badigad_Rural_Municipality,Jaljala_Health_Post,28.249971,83.252429,2039.816627,4.669455152
Baglung,Galkot_Municipality,Narethati_Health_Post,28.2159926,83.4535976,1270.800049,9.9
Baglung,Baglung_Municipality,Narayansthan_HP,28.2159351,83.6659415,938.7000122,20.9
Baglung,Kanthekhola_Rural_Municipality,Tangram_HP,28.2779084,83.5048594,1496,4.966
Baglung,Badigad_Rural_Municipality,Gwalichaur_Health_Post,28.2374013,83.2264758,824.1000366,6.78
Baglung,Kanthekhola_Rural_Municipality,Dhamja_HP,28.2952917,83.4777567,2204.5,4.8
Baglung,Kanthekhola_Rural_Municipality,Dhamja_CHU,28.3069642,83.4953844,1983.4,4.95
Baglung,Kanthekhola_Rural_Municipality,Bihu_HP,28.2570797,83.5053524,1697.200073,3.98
Baglung,Galkot_Municipality,Kadebas_Health_Post,28.2019258,83.37767,986.3103027,7.56
Baglung,Nisikhola_Rural_Municipality,Nisi_BHCC,28.4078941,83.0056612,1664.372,2.595
Baglung,Taman_Khola_Rural_Municipality,Nabang_BHCC,28.4015833,83.1837983,847.1,150.9
Baglung,Taman_Khola_Rural_Municipality,Bongadovan_Health_Post,28.3962719,83.1940453,1354,7.2
Baglung,Galkot_Municipality,Hatiya_Health_Post,28.2183511,83.4179391,1118.5,5.746
Baglung,Nisikhola_Rural_Municipality,Boharagau_Health_Post,28.3777157,83.0535877,1401.300049,1.374
Baglung,Dhorpatan_Municipality,Khunga_HP,28.36753,83.198799,1703.633952,34.62994484
Baglung,Baglung_Municipality,Khahare_BHCC,28.265954,83.5631311,985.3000488,9.075
Baglung,Tara_Khola_Rural_Municipality,Dogadi_BHCC,28.3214286,83.4049671,1755.200073,3.9
Baglung,Tara_Khola_Rural_Municipality,Tara_HP,28.3296222,83.3826726,1885.200073,3.9
Baglung,Kanthekhola_Rural_Municipality,Lekhani_HP,28.2370283,83.5064333,1603.200073,4.9
Baglung,Galkot_Municipality,Harichaura_PHCC,28.2394962,83.4222489,1294,6.55
Baglung,Galkot_Municipality,Charaudi BHCC,28.2262048,83.4303448,1196.900024,5.152
Baglung,Galkot_Municipality,Righa_Health_Post,28.2036483,83.325568,1530.6,10.822
Baglung,Bareng_Rural_Municipality,Lugrung_CHU,28.1540437,83.5331423,1674,3.856
Baglung,Taman_Khola_Rural_Municipality,Bonkhani_CHU,28.429076,83.1844695,1809.9,14.841
Baglung,Jaimuni_Municipality,Binamare_HP,28.167508,83.629316,1075.952499,65
Baglung,Taman_Khola_Rural_Municipality,Khunkhani_Health_Post,28.4362086,83.2271965,1410,7
Baglung,Badigad_Rural_Municipality,Darling_CHU,28.2727818,83.1388505,1338.1,5.3
Baglung,Badigad_Rural_Municipality,Darling_BHCC,28.271782,83.1201588,1657.3,7.2
Baglung,Galkot_Municipality,Rishmi BHCC,28.1982714,83.3689734,970.9,4.94
Rukum_East,Sisne_Rural_Municipality,Sanchaur_BHCC,28.6386083,82.5545899,1267.6604,4.502
Baglung,Dhorpatan_Municipality,Gadikhola_CHU,28.41287,83.099564,1746.39513,4.996870642
Baglung,Badigad_Rural_Municipality,Kharbang_BHCC,28.1914794,83.2731706,765.7,4.988
Baglung,Taman_Khola_Rural_Municipality,Lammela_BHCC,28.4099949,83.2680792,2273.3,5
Baglung,Dhorpatan_Municipality,Rinam_BHCC,28.315542,83.175389,1467.476585,4.627299467
Baglung,Bareng_Rural_Municipality,Batakachaur_HP,28.1325083,83.45453,1281.5,4.733
Baglung,Baglung_Municipality,Kudule_BHCC,28.2880477,83.5958845,997.3,4.966
Baglung,Baglung_Municipality,Mulpani_HP,28.2834275,83.570794,1568.300049,4.9
Baglung,Bareng_Rural_Municipality,Sagdi_CHU,28.1409917,83.4747388,1724.7,4.85
Baglung,Galkot_Municipality,Pandavkhani_Health_Post,28.2551633,83.3568518,1510.300049,11.112
Baglung,Jaimuni_Municipality,Nepane_UHC,28.189158,83.542282,1933.870049,84.31184102
Baglung,Tara_Khola_Rural_Municipality,Amarbhumi_CHU,28.2782157,83.4510799,1957.372,3.9
Baglung,Jaimuni_Municipality,Damek_HP,28.193914,83.586203,1347.63414,165
Baglung,Badigad_Rural_Municipality,Dagatung_Dada_Health_Post,28.208934,83.278768,1549.948494,4.559298683
Baglung,Badigad_Rural_Municipality,Darling_Health_Post,28.288777,83.1652194,1024.8,4.614
Baglung,Taman_Khola_Rural_Municipality,Taman_Health_Post,28.3938683,83.2531217,2031.6,4.95
Baglung,Tara_Khola_Rural_Municipality,Hila_HP,28.2964989,83.4100032,1590.657,3.9
Baglung,Dhorpatan_Municipality,Sukurdung_CHU,28.419116,83.069781,1942.50401,4.990540344
Baglung,Baglung_Municipality,Dhaulagiri_Provincial_Hospital,28.402285,83.076866,1800.309709,5.37637258
Baglung,Dhorpatan_Municipality,Bobang_Health_Post,28.397695,83.081209,1777.643635,4.93160967
Baglung,Baglung_Municipality,Sigana_HP,28.2505303,83.5569035,1438.100708,3.888
Baglung,Tara_Khola_Rural_Municipality,Amarbhumi_HP,28.2605972,83.4513107,1761.797,3.9
Baglung,Dhorpatan_Municipality,Dhiri_UHC,28.354044,83.245218,1910.107394,5.94106921
Baglung,Kanthekhola_Rural_Municipality,Bhimpokhara_HP,28.2831869,83.5256618,1724.3,4.95
Baglung,Tara_Khola_Rural_Municipality,Argal_HP,28.2946796,83.4355557,1745.861,3.9
Baglung,Bareng_Rural_Municipality,Gandel_CHU,28.1244271,83.5411038,1358,4.314
Baglung,Dhorpatan_Municipality,Adhikarichaura_HP,28.373585,83.124311,1383.845193,4.820207864
Baglung,Nisikhola_Rural_Municipality,Thapa_Gau_BHCC,28.3744993,83.0477316,1690.553,2.09
Baglung,Galkot_Municipality,Dudulavati_Health_Post,28.2067827,83.4797187,1438,4.985
Baglung,Kanthekhola_Rural_Municipality,Pala_CHU,28.2635584,83.5452687,987.8000488,4.84
Baglung,Kanthekhola_Rural_Municipality,Pala_HP,28.2721966,83.5527431,1441.8,5
Baglung,Galkot_Municipality,Thalepokhara CHU,28.187447,83.3795696,1938.6,4.95
Baglung,Bareng_Rural_Municipality,Salyan_HP,28.1423567,83.429445,1783.7,3.3
Baglung,Galkot_Municipality,Bura_CHU,28.2051002,83.447993,669.1000366,4.89
Baglung,Baglung_Municipality,Sima_UHC,28.2875839,83.5805295,1557.099976,3.9
Baglung,Jaimuni_Municipality,Chisti_HP,28.111856,83.5873897,1267.647409,4.943
Baglung,Jaimuni_Municipality,Marnas_UHC,28.0943913,83.5830499,1207.879479,4.908
Rukum_East,Bhume_Rural_Municipality,Kada_HP,28.5997471,82.6413161,1789.543457,4.556
Baglung,Baglung_Municipality,Boudechaur_UHC,28.2331211,83.556866,1615.099976,4.8
Baglung,Badigad_Rural_Municipality,Kharakhola_CHU,28.2625537,83.2727566,2000.6,4.883
Baglung,Kanthekhola_Rural_Municipality,Resa_HP,28.2378495,83.5327339,1426.9,4.525
Baglung,Kanthekhola_Rural_Municipality,Resa_CHU,28.2291379,83.545984,1689.4,4.45
Baglung,Jaimuni_Municipality,Rankhani_HP,28.1568199,83.571009,1139.582365,3.9
Baglung,Jaimuni_Municipality,Paiyunthanthap_HP,28.1630524,83.5665888,1544.239272,4.08
Rukum_East,Putha_Uttarganga_Rural_Municipality,Takasera_HP,28.5514381,82.7001038,0,20
Rukum_East,Putha_Uttarganga_Rural_Municipality,Pipaltung_BHCC,28.6300955,82.7805295,2020.74,6.275
Rukum_East,Putha_Uttarganga_Rural_Municipality,Hukam_HP,28.6794033,82.8508055,2221.795,1.371
Rukum_East,Putha_Uttarganga_Rural_Municipality,Mayang_BHCC,28.6738833,82.8356844,2106.035,1.474
Baglung,Jaimuni_Municipality,Kushmisera_PHCC,28.1827901,83.6195956,822.4271886,4.618
Rukum_East,Bhume_Rural_Municipality,Mahat_HP,28.5538781,82.6723334,1893.667969,4.813
Rukum_East,Sisne_Rural_Municipality,Pokhara_HP,28.6359756,82.5834332,1150.769043,4.269
Baglung,Baglung_Municipality,Thamakubari_CHU,28.2114234,83.5937609,1613.2,4.6
Baglung,Baglung_Municipality,Rayadada_HP,28.2185832,83.5782558,1816.4,3.9
Baglung,Baglung_Municipality,Tityang_HP,28.2521785,83.5757504,961.3000488,4.94
Baglung,Baglung_Municipality,Bhakunde_HP,28.2449734,83.5990175,1582.5,4.643
Baglung,Baglung_Municipality,Malika_HP,28.300977,83.5734688,1579.3,4.683
Rukum_East,Putha_Uttarganga_Rural_Municipality,Maikot_HP,28.6741116,82.8812747,1124.800049,3.805
Baglung,Badigad_Rural_Municipality,Ransingkiteni_Health_Post,28.2948284,83.250319,1905.1,4.51
Baglung,Dhorpatan_Municipality,Nabi_CHU,28.4998559,83.0294882,2804.144287,19.383
Baglung,Dhorpatan_Municipality,Sama_BHCC,28.3594188,83.1724507,1692.077881,4.845
Baglung,Badigad_Rural_Municipality,Daga_CHU,28.2636616,83.2161713,1710.5,4.88
Baglung,Baglung_Municipality,Amalachaur_HP,28.1999714,83.6378222,1277,3.9
Rukum_East,Sisne_Rural_Municipality,Amalachaur_BHCC,28.6344963,82.6115654,1361.446777,3.79
Rukum_East,Sisne_Rural_Municipality,Sisne_HP,28.7463224,82.6718857,2326.566895,4.93
Rukum_East,Sisne_Rural_Municipality,Pakhapani_CHU,28.7684943,82.6717871,2335.888184,4.932
Rukum_East,Sisne_Rural_Municipality,Pwang_HP,28.6782866,82.6792813,1333.680054,4.886
Baglung,Galkot_Municipality,Ramuwa_CHU,28.3001392,83.3142346,2262.2,4.453
Baglung,Taman_Khola_Rural_Municipality,Narjakhani_BHCC,28.454737,83.2451896,2117.1,4.97
Baglung,Nisikhola_Rural_Municipality,Devisthan_Health_Post,28.3292818,83.121474,1266.839,1.413
Rukum_East,Sisne_Rural_Municipality,Rumalbara_BHCC,28.6066355,82.6267442,1640.399902,4.841
Rukum_East,Sisne_Rural_Municipality,Bhurunga_CHU,28.6555057,82.5032727,1431.532837,4.997
Rukum_East,Sisne_Rural_Municipality,Syalapakha_HP,28.6529811,82.5284235,971.0402832,4.972
Rukum_East,Sisne_Rural_Municipality,Nathigaad_CHU,28.6306543,82.5700436,1105.403442,4.959
Rukum_East,Sisne_Rural_Municipality,Chhipkhola_CHU,28.6458245,82.6294668,1786.41333,4.895
Baglung,Kanthekhola_Rural_Municipality,Buhun_CHU,28.256802,83.492347,1775.4,4.816
Baglung,Nisikhola_Rural_Municipality,Arnakot_CHU,28.3481452,83.1223301,1929.743,3.9
Baglung,Baglung_Municipality,Titaure_UHC,28.284648,83.5466195,1855,4.619
Baglung,Baglung_Municipality,Sarangi_UHC,28.2035719,83.6519017,884.5839844,4.854
Baglung,Nisikhola_Rural_Municipality,Rajkut_Health_Post,28.3160872,83.1385047,1594.393,1.604
Baglung,Baglung_Municipality,Baskot_UHC,28.2386583,83.6326652,1168.8,4.92
Baglung,Baglung_Municipality,Paiyunpata_Hospital,28.2215319,83.6480231,1160.200073,4.25
Baglung,Baglung_Municipality,Sivalaya_CHU,28.2207113,83.6372607,1464.7,4.7
Baglung,Kanthekhola_Rural_Municipality,Tangram_CHU,28.2723786,83.4783989,1782.1,4.733
Baglung,Badigad_Rural_Municipality,Shishakhani_Health_Post,28.2234489,83.3204633,1919.4,4.645
Baglung,Badigad_Rural_Municipality,Taranja_CHU,28.2447043,83.2954424,2002,4.966
Baglung,Badigad_Rural_Municipality,Bhedikhor_CHU,28.3111389,83.2820024,2013.9,4.474
Rukum_East,Putha_Uttarganga_Rural_Municipality,Jang_HP,28.688945,82.7103814,1705.067,3.9
Rukum_East,Putha_Uttarganga_Rural_Municipality,Damchan_BHCC,28.5645343,82.8700024,2337.936,4.99
Rukum_East,Putha_Uttarganga_Rural_Municipality,Ranma_BHCC,28.6946918,82.8572308,2218.342,1.586
Rukum_East,Bhume_Rural_Municipality,Chunbang_HP,28.5357816,82.5548947,1536.738525,4.833
Rukum_East,Bhume_Rural_Municipality,Dharamshala_BHCC,28.5228874,82.6753615,1741.636475,4.674
Rukum_East,Bhume_Rural_Municipality,Serabang_BHCC,28.6053052,82.6572763,1915,4.813
Rukum_East,Bhume_Rural_Municipality,Jhumlabang_CHU,28.5755599,82.6874801,2022.800049,2.733
Baglung,Jaimuni_Municipality,Sarkuwa_HP,28.1631962,83.6017241,1266.039917,4.626
Baglung,Jaimuni_Municipality,DadaKhani_UHC,28.1445753,83.5501659,1755.590576,4.737
Baglung,Jaimuni_Municipality,Jaidi_HP,28.1346152,83.6133883,1256.659302,4.946
Rukum_East,Putha_Uttarganga_Rural_Municipality,Kol_PHC,28.6020458,82.7659676,2007.616,3.9
Rukum_East,Bhume_Rural_Municipality,Kakri_HP,28.5544275,82.7338224,1700.488,19.6
Rukum_East,Bhume_Rural_Municipality,Morabang_HP,28.5660878,82.6674518,0,104.1
Rukum_East,Putha_Uttarganga_Rural_Municipality,Ranksi_HP,28.6191029,82.7308783,0,52.4